cik,company_name,ticker
1750,,AIR
1800,,ABT
1961,,WDDD
2098,,ACU
2178,,AE
2186,,BKTI
2230,,ADX
2488,,AMD
2809,,AEM
2969,,APD
3197,,CECO
3453,,MATX
3499,,ALX
3545,,ALCO
3570,,LNG
4127,,SWKS
4281,,HWM
4281,,HWM-P
4447,,HES
4457,,UHAL
4457,,UHAL-B
4904,,AEP
4962,,AXP
4977,,AFL
5094,,VBF
5272,,AIG
5513,,UNM
5513,,UNMA
5981,,AVD
6176,,AP
6176,,AP-WT
6201,,AAL
6207,,AXR
6281,,ADI
6494,,ANDR
6845,,APOG
6951,,AMAT
6955,,EPAC
7084,,ADM
7323,,EAI
7332,,SWN
7431,,AWI
7536,,ARW
7623,,ARTW
7789,,ASB
7789,,ASB-PE
7789,,ASBA
7789,,ASB-PF
8063,,ATRO
8063,,ATROB
8146,,ALOT
8177,,AAME
8328,,AMNL
8504,,UAVS
8670,,ADP
8818,,AVY
8858,,AVT
8947,,AZZ
9092,,BMI
9326,,BCPC
9389,,BALL
9521,,BCV
9521,,BCV-PA
9631,,BNS
9984,,B
10048,,BRN
10329,,BSET
10456,,BAX
10795,,BDX
11544,,WRB
11544,,WRB-PE
11544,,WRB-PF
11544,,WRB-PG
11544,,WRB-PH
12040,,BDL
12208,,BIO
12208,,BIO-B
12239,,DOMH
12659,,HRB
12927,,BA
13156,,GLXZ
13372,,NSARO
13372,,NSARP
14177,,BRID
14272,,BMY
14272,,BMYMP
14272,,CELG-RI
14693,,BF-B
14693,,BF-A
14707,,CAL
14846,,BRT
14930,,BC
14930,,BC-PA
14930,,BC-PB
14930,,BC-PC
15615,,MTZ
15847,,BUKS
16040,,CBT
16058,,CACI
16160,,CALM
16732,,CPB
16859,,SRL
16868,,CNI
16875,,CP
16918,,STZ
16988,,CAJPY
16988,,CAJFF
17313,,CSWC
17313,,CSWCZ
17843,,CRS
18230,,CAT
18255,,CATO
18349,,SNV
18349,,SNV-PD
18349,,SNV-PE
18498,,GCO
18654,,AILIH
18654,,AILLI
18654,,AILLM
18654,,AILLN
18654,,AILIM
18654,,AILLO
18654,,AILIN
18654,,AILLP
18654,,AILIO
18654,,AILIP
18748,,CET
18926,,LUMN
19584,,CHE
701719,,ELA
701818,,KGC
701818,,KGCRF
701985,,BBWI
702165,,NSC
703351,,EAT
703604,,DSGR
704172,,PHIL
704440,,KRMD
704532,,ONTO
704562,,CDMO
705432,,SBSI
706129,,HBNC
706698,,UTMD
706863,,UNB
707179,,ONB
707179,,ONBPO
707179,,ONBPP
707388,,STRR
707388,,STRRP
707549,,LRCX
707605,,ASRV
708781,,CASS
708821,,PAR
708955,,FFBC
709005,,NROM
709283,,QMCO
709337,,FMNB
710752,,SBR
711034,,THMG
711377,,NEOG
711404,,COO
711669,,CBAN
712034,,ACCO
712515,,EA
712534,,FRME
712534,,FRMEP
712537,,FCF
712770,,OLP
712771,,CNOB
712771,,CNOBP
713425,,AMSWA
713676,,PNC
714256,,SMTI
714310,,VLY
714310,,VLYPP
714310,,VLYPO
714310,,VLYPN
714395,,GABC
714562,,THFF
714712,,JUVF
715072,,RNST
715153,,HMC
715153,,HNDAF
715446,,ANIX
715579,,ACNB
715787,,TILE
715957,,D
716006,,YELLQ
1109486,,EDXC
1110452,,AFLYY
1110452,,AFRAF
1110607,,KLNG
1110611,,ONTF
1110646,,NTES
1110646,,NETTF
1110803,,ILMN
1111335,,VC
1111485,,RXST
1111711,,NI
1111741,,DYNR
1111928,,IPGP
1113148,,INFIQ
1113169,,TROW
1113232,,ACLS
1113313,,AVNI
1113423,,CSCI
1113809,,BBW
1114446,,AMNA
1114446,,AMND
1114446,,AMTR
1114446,,AMUB
1114446,,BDCX
1114446,,BDCZ
1114446,,CEFD
1114446,,DJCB
1114446,,ESUS
1114446,,FEDL
1114446,,HDLB
1114446,,IFED
1114446,,IWDL
1114446,,IWFL
1114446,,IWML
1114446,,MLPB
1114446,,MLPR
1114446,,MTUL
1114446,,MVRL
1114446,,PFFL
1114446,,QULL
1114446,,SCDL
1114446,,SMHB
1114446,,UCIB
1114446,,USML
1114446,,WUCT
1114448,,NVS
1114448,,NVSEF
1114483,,ITGR
1114700,,GGAL
1114898,,WNBD
1114925,,LTRX
1114927,,FNRN
1114936,,UMEWF
1114995,,PI
1115055,,PNFP
1115055,,PNFPP
1116132,,TPR
1116463,,OSUR
1116578,,PUK
1116578,,PUKPF
1116942,,TTMI
1117057,,PLAG
1117171,,CBAT
1117228,,MMMW
1117228,,MMMWD
1117297,,QNST
1117480,,CMRX
1119083,,MNDO
1119190,,HMBL
1119639,,PBR
